,100 to 105 MW,105 to 110 MW,110 to 115 MW,115 to 120 MW,120 to 125 MW,125 to 130 MW,130 to 135 MW,135 to 140 MW,140 to 145 MW,145 to 150 MW,150 to 155 MW,155 to 160 MW,160 to 165 MW,165 to 170 MW,170 to 175 MW,175 to 180 MW,180 to 185 MW,185 to 190 MW,190 to 195 MW,195 to 200 MW,200 to 205 MW,205 to 210 MW,210 to 215 MW,215 to 220 MW,220 to 225 MW
1FUE-TOTPA-FLOW,2.6415832311501997,0.7034398359338575,0.7844818551513101,1.957263409340578,2.2359023294554814,1.200177074395339,3.071243573286766,3.2068655005156423,3.2509294088336125,2.584204223821361,2.5500443246623252,2.2015064643150217,1.771572340705587,1.7474097449633244,1.8350159951253466,2.100139597661485,1.516414880642285,1.7661155902942545,2.008410407955444,2.3629262338644654,2.2347054931938666,2.0723543053735596,2.146127480498267,1.919248378883483,1.2969427184582674
1FWS-FWFLW-A,1.5892763112792552,1.9837570945134413,2.2355391149044106,2.4016460848822163,2.000129066954495,2.217666429304609,1.8810104828164842,1.9989421466341397,2.4286618205707606,1.7969636055484788,2.1210100807413608,2.3981363772805295,2.2732024627758776,3.048711736133175,1.5739851630115862,2.55750759202759,2.066633720213545,1.8630294201934048,2.76935930795083,2.5235073260822647,3.392614597736635,3.447658190995226,3.2824881276024747,4.063201836695716,1.8278175434499258
1FWS-STMFLW-A,1.108693625139688,1.821088170190905,1.6755328014074915,1.715281394058441,1.4293708034748522,1.8537185578023523,1.6637717798754403,1.4778096891015877,1.8524241579619505,1.6024398216034106,1.4543586479536224,1.6346519447754935,1.9496228012723646,1.9555378166204553,1.6179166478371654,2.211525511425133,1.6811550969508082,1.69678736522024,2.1580711834682704,2.3118089115115596,2.356763393222596,2.4084381619705524,2.6025994030902013,2.284726367035922,1.9030436949024112
1JT66801S,1045251.4753324914,1454596.709202267,1459500.4730729756,1307377.5073282542,1291009.346223289,1545256.2275549727,1453610.643320328,1501324.6174136081,1512953.6318154281,1522548.8787440374,1001116.6439767116,1395220.5958898137,1346579.3092944226,1599905.9191835008,1381262.557679368,1401860.3203620377,1274533.5627860373,1513110.1611340693,1465409.4380717343,1339877.822838689,1470805.981383973,1373037.2441444586,1350486.2284246658,1452011.3827766262,1056176.0899237841
1LDC-GROSS-MW,1053311.858748772,1516882.6246818036,1484007.149977112,1364479.166849045,1336776.456017452,1583364.4903920824,1509621.6528864142,1521720.2529440022,1586369.2715396737,1535093.6743863206,997563.9558231015,1372727.7180069778,1374924.2991422436,1569105.7046912233,1327261.233475618,1428389.301530971,1211819.267940942,1549016.113675142,1410846.5321150788,1365430.3011762796,1449928.3984232678,1442181.3927953022,1373625.1716239667,1455696.0373507978,1051695.0468162182
1TCMVACPT2,60.45207067050717,63.39656420823715,55.303800190269406,49.665264582186595,97.08788204677445,97.58365916938604,90.96712747129291,102.82911819380172,121.52988643322789,125.43567301017004,157.13428494686568,175.22584469136973,154.83786810744394,184.18508365086169,108.8009496780781,140.00015691027286,166.97663627788785,130.1824647223861,138.80762636899163,142.61720065842758,207.04623753466217,216.33274706511412,260.86093918973114,297.1655995825844,260.45121398074406
5C0002FLOW,0.19574334264684462,0.35342741001378325,0.45444728157861475,0.40018028069276274,0.4127083363690291,0.5382502043536407,0.41663387528703927,0.34831690522698366,0.41444584716435395,0.49760312064464574,0.46458232729734084,0.5573156138391334,0.5446787213417336,0.5472836427051937,0.49765816270109775,0.5451602739760373,0.3327210760535389,1.1009576031102797,1.4161704112147289,0.8913600136114043,1.6170302211006333,2.0378963132474963,2.0213546861593277,2.419778252816524,2.3191824825956826
BA1003,500.0826366470059,428.1535488242337,461.5457951046353,413.09615615365396,441.037553952272,404.90293005793137,482.7819809205062,499.95208078422985,537.3744774431261,547.8653074976096,451.3277357981652,510.2713709848467,650.6960742672605,670.8422987283201,507.7603071204204,590.3715711202326,445.5862300749234,463.2535397123292,406.7696141307744,431.7158935493283,366.9959314747997,369.6456508082576,336.5421356995557,275.89954526939175,287.68319066507496
BA1503,506.2963814144474,459.27156548275156,439.0761410382085,415.17121820743404,434.4364520961337,384.7220039319421,485.19225486705335,507.67634402767845,538.7409453929732,543.4290784145527,450.30620959124803,486.86635366472393,654.6891597310657,671.8795802375028,479.1989543860518,595.1508098039158,460.75799540794713,464.2942307796207,370.4879218023028,408.79135685732336,351.3585805146946,344.1220761727661,309.6205066846091,259.5034687218067,262.8853277291032
BA1T,3.868302673421898,6.009586539688375,4.5777616106694285,4.1700926766072195,4.369732625408793,3.949013667395454,4.619897559527045,5.4153055193395065,6.204230181920257,5.68959633475106,4.725324894479973,4.9223980793185085,5.196737561413671,5.84326903643317,3.6486503030876376,4.563505675883713,4.986715298988817,5.327840793018848,5.422841174003229,6.757345602496876,6.101060496649275,5.0254499096678185,5.4931130408182804,5.0266450494594865,3.200538476425522
