,1FUE-TOTPA-FLOW,1FWS-FWFLW-A,1FWS-STMFLW-A,1JT66801S,1LDC-GROSS-MW,1TCMVACPT2,5C0002FLOW,BA1003,BA1503,BA1T,BA2003,BA2004,BAROMETRIC-PRESS,C19,CW313,CW316,CW317-COND,DGS3,FW401,FW413,FW451,FW452,FW468,S11,S202,S212,S302,S312,S412,S422,S423,S502,S602,S613,S631,S633,S831,S833,S839C,BA2007,BA2051,BA2052,BA2053,BA2054,BA2503,BA2504,BA2507,BA2551,BA2552,BA2553,BA2554,BF2001,BF2002,BF2003,BF2501,BF2502,BF2503,BG3506A,BG3506B,C105,C205,C305,C411,CW119,CW129,D207,D607,FW402,FW606,FW611,PERFTEST-D508,PERFTEST-D608,PERFTEST-FW503,PERFTEST-FW603,PERFTEST-FW608,PERFTEST-S501,S105,BG3502,BG3503,BG3505,C51,CW213A,CW216A,FW4537-VACA,FW4537-VACB,FW4537-VACC,FW463,FW464,FW711,FW712,PERFTEST-S633,S614,S634,S640,S801,S804,S811,S834,num_mills
2/4/2020 0:20,451.869568,1054.7323,1045.472656,166.24144,166.528534,1.08078,1.237485,3.678025,3.682251,1475.004883,1.399536,654.23584,23,81.20092,54.468502,70.787132,4094.085693,83.057922,303.964233,200.65918,1724.220947,312.095428,1886.962891,0.932007,239.751694,1.110229,494.02478,21.623535,67.053223,65.748596,637.590942,793.342041,627.516724,326.806641,1009.057678,302.819824,1008.447266,1573.608398,1090.85083,207.34404,-2.521912,722.595215,-4.577362,306.860321,1.515502,657.287598,210.624695,-2.607971,740.142822,-4.66037,321.386749,32.162476,131.036377,659.576416,31.895447,129.541016,662.628174,2.700196,3.121338,149.461655,182.894043,248.403534,306.665009,20.166014,37.156677,164.746628,356.410034,79.241943,431.335449,1693.084717,322.978363,350.488586,309.6008,340.364563,428.073578,106.47451,-7.996531,-0.976227,-0.970825,-1.305847,274.319458,57.636768,73.32299,0.444488,0.449066,0.444488,1.655365,290.985199,535.433411,533.298279,297.314453,674.093628,1007.150269,299.145508,1648.681641,606.242249,806.259155,1002.954102,3
12/16/2019 11:40,458.642059,1016.055725,1011.608887,166.149902,165.751801,1.17691,0.047299,3.478648,3.737183,1513.154785,1.491089,636.535645,23.356445,83.450333,53.630867,73.259956,4148.254395,82.741428,304.444885,200.598145,1717.800293,312.59967,1879.638672,1.000671,234.150253,1.360474,485.342072,21.342773,66.732788,65.748596,629.571838,785.44873,629.651428,328.912354,1006.768799,305.108643,1016.992249,1569.030884,1079.406738,204.64325,-2.56311,694.061279,-4.657776,305.639648,1.60858,637.756348,205.14679,-2.596069,710.998535,-4.839355,315.771454,31.987,122.811882,645.385742,31.796265,121.42334,645.843506,2.886353,3.646241,151.556335,182.105881,250.276199,308.361542,20.082092,37.873837,158.72406,356.516754,79.699707,432.861298,1688.964844,323.309052,350.488586,310.260712,341.193756,429.420349,107.788658,-8.307581,-0.62146,-0.939087,-1.115875,276.5625,59.873718,75.410614,0.890808,0.817566,0.890808,0.434663,295.948517,533.770752,524.691711,300.366211,682.196045,1001.123047,301.831055,1645.019653,606.025635,780.62439,1010.125732,3
2/28/2020 5:10,439.715759,1061.455322,1042.595581,166.149902,166.429291,1.131134,1.04675,3.297677,3.364868,1405.258301,1.497192,643.859863,23.581055,83.194359,55.366154,71.62886,4165.039063,79.844724,306.954956,200.598145,1719.634766,315.176605,1887.573242,1.005249,243.350662,1.497803,498.444336,21.733398,68.97583,67.739868,641.240479,799.377869,630.412292,331.109619,1010.125732,306.665039,999.44458,1569.946411,1075.592041,207.725525,-2.406555,710.388184,-4.512512,307.958984,1.382751,658.508301,211.753845,-2.461487,746.09375,-4.67334,323.706055,32.437134,129.861465,651.031494,32.131958,129.220581,664.764404,3.17627,2.422486,150.978073,182.350876,250.837479,309.632813,20.219421,37.271114,160.78244,358.372772,80.065918,433.624268,1688.964844,326.286102,352.814606,312.901093,342.686584,429.925476,109.359695,-8.505732,-0.881927,-0.877441,-1.279907,273.403931,58.575981,75.496666,0.430755,0.433044,0.430755,0.617767,294.631348,526.027405,528.698242,301.434326,674.368286,1009.362793,303.295898,1644.104004,606.025635,794.3573,994.714355,3
1/16/2020 10:40,414.564087,1084.343262,1045.119507,165.966797,165.746521,1.032715,1.733397,4.135056,3.911133,1445.56604,1.835938,649.047852,23.512695,85.258354,56.943832,74.821121,4168.09082,82.550604,305.085754,199.316406,1722.845093,312.889679,1888.183594,1.02356,223.207748,1.552734,475.938202,21.318359,67.282104,66.412354,619.392883,771.685608,617.923645,329.003906,987.542786,304.01001,996.392822,1570.861938,1093.139648,213.661194,-2.561279,703.369141,-4.774506,321.020477,1.709288,648.132324,218.955978,-2.596985,717.559814,-4.652588,334.082001,31.60553,124.520882,657.287598,31.674194,131.677261,656.066895,3.331909,2.913819,151.820801,184.000275,249.971603,307.582947,20.97473,39.262386,162.773575,356.69104,78.570557,431.182861,1690.795898,324.631989,351.153076,311.085724,340.862061,428.241913,107.527695,-7.902063,-0.744598,-0.913452,-1.212769,276.287842,62.008633,77.484131,0.563507,0.570373,0.563507,0.312593,295.168793,527.239319,523.499329,299.755859,666.12854,984.94873,301.098633,1647.766113,606.242249,784.286499,991.052246,3
3/3/2020 22:00,428.278076,1088.712891,1054.146362,165.875244,166.175293,1.04187,0.68054,3.268537,2.809448,1361.109619,1.314087,660.339355,23.244141,85.9104,57.481056,75.438438,4076.537842,83.009124,306.047058,201.391602,1724.679565,314.096954,1899.169922,1.037292,232.689697,1.702271,491.427368,22.160645,69.570923,68.151855,635.136963,789.338257,624.904297,332.208252,999.902344,307.489014,984.033264,1578.186157,1075.592041,215.873703,-2.309509,734.49707,-4.603302,315.771454,1.16455,671.936035,219.253555,-2.464233,765.472412,-4.59552,329.687531,32.315063,138.94043,664.154053,31.590271,138.94043,673.461914,2.941285,3.139649,152.370102,183.237122,251.386948,310.09787,20.509336,37.767025,161.967651,358.24646,80.249023,433.166473,1694.915771,325.458984,352.980774,311.745789,342.686584,430.093842,109.382988,-8.57255,-0.979889,-0.821289,-1.321869,275.784302,61.071362,78.7379,0.490265,0.497131,0.490265,0.373627,290.603088,535.49469,536.02832,302.655029,666.952515,1001.657104,303.662109,1649.597168,606.531006,797.103882,983.422852,3
2/3/2020 23:40,451.776703,1058.639038,1046.173584,165.600571,165.283905,1.035004,1.130674,4.115118,3.978271,1503.192383,1.784058,656.982422,23,82.396461,55.422649,72.161453,4171.905273,83.026314,304.658508,199.621582,1720.552002,313.12793,1885.131836,0.954895,240.716019,1.363525,494.02478,21.062012,66.091919,65.908813,637.192566,793.342041,628.552307,324.79248,1009.362854,300.714111,1009.66803,1568.115234,1093.139648,209.213257,-2.521912,724.42627,-4.930145,309.790039,1.742858,661.865234,213.348404,-2.729736,743.804932,-5.002777,325.292969,32.162476,131.997681,663.238525,31.895447,130.502319,667.205811,2.794801,3.203736,149.461655,181.097122,248.724396,306.665009,20.219421,36.965942,160.305206,356.410034,77.227783,431.335449,1687.591553,323.805115,350.322479,310.755707,340.198761,427.40033,106.060524,-7.918192,-0.974854,-0.936646,-1.350861,274.868774,58.675629,74.223648,0.481109,0.485687,0.481109,1.106051,292.418457,534.365906,533.298279,295.635986,674.368286,1006.234741,297.802734,1643.188477,605.881226,806.259155,1003.86969,3
12/16/2019 12:30,448.39856,1066.460693,1050.734863,165.509018,165.463104,1.17691,0.070189,3.624346,3.71582,1454.877319,1.497192,631.04248,23.356445,84.72966,56.493103,76.089317,4175.720215,82.38456,305.352783,198.76709,1716.424438,313.711548,1880.859375,1.083069,235.115814,1.140747,487.00473,21.013184,67.694092,66.938782,630.368408,787.837341,620.969543,330.46875,995.935059,306.481934,993.188477,1564.453125,1080.1698,200.881958,-2.433105,697.723389,-4.657776,297.705048,1.617736,632.263184,200.523361,-2.478882,713.745117,-4.494354,306.982422,31.987,123.773186,638.977051,31.84967,122.384644,637.60376,3.035889,3.383789,151.556335,183.00415,251.318527,309.39447,20.776367,37.728882,159.629944,357.502136,78.90625,433.776825,1687.133789,324.631989,352.316101,311.250732,342.023071,429.757111,108.123985,-8.307581,-0.62146,-0.918945,-1.216583,274.411011,61.386475,78.236786,0.810699,0.817566,0.806122,0.800874,293.039276,534.838318,528.965271,301.434326,669.287109,995.401001,302.563477,1641.357422,605.809021,781.539917,990.136719,3
2/27/2020 19:40,435.216217,1038.078491,1015.641968,165.41748,165.092484,1.062469,1.519772,3.877401,3.563232,1429.119141,1.295776,643.859863,23.541992,83.847137,53.214291,73.191483,4226.07373,82.939434,305.032349,200.415039,1712.296875,312.845947,1876.586914,0.991516,240.233887,1.052246,496.480072,21.416016,67.442322,66.549683,638.786194,794.933777,626.720154,328.45459,1008.599854,303.735352,999.139404,1566.28418,1071.014404,218.803406,-2.419373,711.303711,-4.642212,317.480499,1.437682,661.254883,221.70256,-2.459656,745.635986,-4.701874,332.861328,32.063293,140.115356,651.33667,31.826782,139.260864,666.137695,3.136597,3.222046,150.618759,181.750671,250.087845,307.936523,20.394897,37.3703,160.140564,356.128967,79.058838,431.793182,1682.098389,324.301239,350.986938,310.920715,341.359619,428.915283,107.730408,-8.293756,-0.872314,-0.882935,-1.333313,274.227905,59.800327,76.152481,0.476532,0.483399,0.478821,0.739837,289.710968,526.088745,526.622986,298.99292,674.093628,1006.616211,300.854492,1637.695435,605.375854,804.428101,995.324707,3
2/28/2020 12:20,448.229797,1047.674805,1036.9646,165.234375,165.367462,1.133422,1.573178,3.283874,3.319092,1491.421875,1.549072,650.268555,23.600586,87.247368,54.507504,77.296921,4130.706543,82.685208,306.15387,200.292969,1714.131348,314.70816,1879.638672,1.11969,238.055496,0.829468,493.462433,21.586914,67.46521,67.144775,635.43158,792.90033,621.180664,329.46167,1005.242981,304.467773,1000.970459,1565.368652,1073.303345,218.009964,-2.396484,714.96582,-4.541046,318.701172,1.39038,663.696289,221.237183,-2.476135,749.755859,-4.813416,333.47168,32.368469,139.154053,656.524658,31.994629,137.979111,668.426514,3.069458,2.828369,151.436615,181.905807,250.320328,309.120392,19.990538,35.684204,161.20224,356.876953,79.333496,431.640625,1683.47168,325.458984,351.651489,312.405945,341.691345,428.578583,108.46907,-8.316797,-0.620087,-0.873779,-1.121216,273.03772,63.118027,80.678406,0.531464,0.536041,0.531464,0.312593,288.428436,526.191589,528.862427,300.061035,671.072388,1001.96228,301.220703,1639.526245,605.448059,799.850464,993.64624,3
12/16/2019 11:50,448.455688,1060.603271,1053.668213,165.234375,165.547989,1.179199,0.047299,3.478648,3.737183,1424.056396,1.47583,633.789063,23.356445,83.109024,52.675674,73.259956,4046.020264,80.023152,305.406189,199.133301,1718.717529,313.552704,1883.300781,0.973206,235.115814,1.360474,488.192413,21.281738,67.785645,66.778564,632.360107,788.434448,625.74823,329.827881,997.460938,306.115723,995.019531,1569.030884,1074.829102,202.75116,-2.439514,694.976807,-4.657776,302.587891,1.60858,635.009766,202.377319,-2.596069,710.998535,-4.496948,310.888672,31.987,122.811882,641.723633,31.796265,121.42334,643.096924,3.057251,3.872071,152.464783,183.0858,251.318527,309.315002,20.082092,37.873837,160.535522,358.416382,78.78418,433.776825,1690.795898,324.797394,352.648407,311.085724,342.354828,430.430634,108.167099,-8.307581,-0.62146,-0.856689,-1.115875,274.365234,58.182087,75.28199,0.890808,0.817566,0.890808,0.739837,292.446198,532.703064,525.760254,300.823975,673.132324,997.689819,302.807617,1643.188477,606.025635,777.877808,993.341064,3
