,NGCC profit (M$),SOFC profit (M$),NGCC+SOEC profit (M$),rSOC profit (M$),SOFC+SOEC profit (M$),SOEC profit (M$),Natural Gas Price ($/MMBtu),Carbon Tax ($/tonne),Hydrogen Price ($/kg),Mean LMP ($/MWh),Minimum LMP ($/MWh),25th Percentile ($/MWh),50th Percentile ($/MWh),75th Percentile ($/MWh),Maximum LMP ($/MWh),Standard Deviation ($/MWh),Skewness,Kurtosis,Bimodality Coefficient,Dip Test Statistic,Dip Test p-value
ISO_NE_2019_10,-145.3675561,-70.77095628,-199.5450083,-59.83456298,-83.74208954,-50.99365458,4.5,0,1,30.67519406,-56.16,19.0475,24.55,35.94,261.35,20.56166968,2.80590636,13.04447472,0.552996735,0.001763626,1
ISO_NE_2022_10,-51.452119,63.64741911,-109.4698592,59.62327469,40.71611823,-66.82272872,10.76,0,1,84.91544863,-150.91,49.545,65.87,98.705,2254.35,64.92435099,6.741013859,157.4969691,0.289357305,0.002238656,0.994999534
MiNg_$100_CAISO_2035_10,51.86618945,130.8438301,15.41752909,184.4728609,171.382134,-25.28905703,2.26,100,1,52.97257669,0,1.17,73.585,91.23,178.28,43.71907064,-0.199731517,-1.568262256,0.725792605,0.156735096,0
MiNg_$100_ERCOT_2035_10,-55.73354711,18.50913219,-96.89430028,85.72887722,55.96685679,-4.242977383,2.64,100,1,33.66061126,0,0,30.385,70.13,186.42,35.29746933,0.482471217,-0.945428853,0.599716589,0.07461005,0
MiNg_$100_MISO-W_2035_10,-27.17571321,44.04811322,-49.59919649,111.0744632,91.08147821,1.559750647,1.69,100,1,35.12351419,0,0,42.12,69.24,145.07,34.44692668,0.142891078,-1.714727084,0.793294769,0.10022202,0
MiNg_$100_NYISO_2035_10,-8.565812299,56.6448684,-14.31849916,136.4966882,120.0275899,8.199970716,1.12,100,1,35.21884386,0,0,1.41,74.6625,182.14,40.05829425,0.487903694,-1.195248043,0.685603037,0.114545578,0
MiNg_$100_PJM-W_2035_10,32.05098539,111.5527396,4.583645218,147.6320196,144.6035789,-34.3506487,1.42,100,1,48.01168613,0,8.06,63.575,76.9025,172.29,33.47362079,-0.325040878,-1.426971765,0.702420734,0.116823124,0
MiNg_$150_CAISO_2035_10,31.38078023,101.135101,0.889187123,180.0743276,157.0172379,5.263745603,2.26,150,1,45.34645604,0,0,1.53,105.405,203.01,53.73638702,0.443520376,-1.643399563,0.881469471,0.116924297,0
MiNg_$150_ERCOT_2035_10,-23.2813038,45.59650186,-62.35320643,128.8463518,95.57794278,16.75040077,2.64,150,1,36.18433265,0,0,0.18,92.95,204.49,46.60158175,0.660464622,-1.313764678,0.851207558,0.095942041,0
MiNg_$150_MISO-W_2035_10,-53.10631839,10.38669974,-73.90266376,102.4464021,70.86068875,30.32646012,2.01,150,1,28.1322516,0,0,0.25,70.01,162.06,40.38926288,0.919725797,-0.924047432,0.8887388,0.061314676,0
