model3, MISO_LOUISIANA_2022,8.001477301,13.47267963,21.47415694, optimal
model4, MISO_LOUISIANA_2022,0.282506486,2.385177247,2.667683733, optimal
model5, MISO_LOUISIANA_2022,2.616932845,10.25491918,12.87185203, optimal
model6, MISO_LOUISIANA_2022,0.204311383,1.735795915,1.940107298, optimal
model3, MISO_MINNESOTA_2019,0.992433679,4.526850049,5.519283728, optimal
model4, MISO_MINNESOTA_2019,0.224489446,6.286305567,6.510795013, optimal
model5, MISO_MINNESOTA_2019,2.236462247,6.21300685,8.449469097, optimal
model6, MISO_MINNESOTA_2019,0.127783553,0.823630416,0.951413969, optimal
model3, MISO_MINNESOTA_2022,1.401303049,9.446654149,10.8479572, optimal
model4, MISO_MINNESOTA_2022,0.243488463,2.556293499,2.799781962, optimal
model5, MISO_MINNESOTA_2022,2.16944025,8.954475514,11.12391576, optimal
model6, MISO_MINNESOTA_2022,0.176794684,1.024796402,1.201591086, optimal
model3, PJM_WEST_2019,1.093073583,3.854567214,4.947640797, optimal
model4, PJM_WEST_2019,0.239110835,5.494364615,5.733475451, optimal
model5, PJM_WEST_2019,1.724443718,3.884088981,5.608532699, optimal
model6, PJM_WEST_2019,0.178680817,0.857813998,1.036494815, optimal
model3, PJM_WEST_2022,1.009601915,4.099157015,5.10875893, optimal
model4, PJM_WEST_2022,0.296183161,3.946877917,4.243061078, optimal
model5, PJM_WEST_2022,1.797128272,8.551603897,10.34873217, optimal
model6, PJM_WEST_2022,0.238253097,1.608267919,1.846521016, optimal
model3, SPP_NORTH_2019,1.007146931,4.638666403,5.645813334, optimal
model4, SPP_NORTH_2019,0.265635868,3.190792227,3.456428095, optimal
model5, SPP_NORTH_2019,1.536364667,5.582767415,7.119132082, optimal
model6, SPP_NORTH_2019,0.152635916,0.781564462,0.934200378, optimal
model3, SPP_NORTH_2022,1.187965286,8.067443717,9.255409002, optimal
model4, SPP_NORTH_2022,0.262863266,2.464848419,2.727711685, optimal
model5, SPP_NORTH_2022,2.041184445,6.153394834,8.194579279, optimal
model6, SPP_NORTH_2022,0.179554884,0.9820816,1.161636484, optimal
model3, SPP_SOUTH_2019,0.997283951,4.661344767,5.658628718, optimal
model4, SPP_SOUTH_2019,0.268247465,3.197384214,3.46563168, optimal
model5, SPP_SOUTH_2019,1.606417632,8.070001169,9.676418801, optimal
model6, SPP_SOUTH_2019,0.159183911,0.767084968,0.92626888, optimal
model3, SPP_SOUTH_2022,1.154791713,8.074687668,9.22947938, optimal
model4, SPP_SOUTH_2022,0.338228782,2.377725867,2.715954649, optimal
model5, SPP_SOUTH_2022,3.23843437,12.16560047,15.40403484, optimal
model6, SPP_SOUTH_2022,0.214291533,1.249688717,1.46398025, optimal
model3, MiNg_$100_CAISO_2035,0.521507049,4.712441905,5.233948954, optimal
model4, MiNg_$100_CAISO_2035,0.398836597,2.801740233,3.20057683, optimal
model5, MiNg_$100_CAISO_2035,0.589601684,7.028164204,7.617765888, optimal
model6, MiNg_$100_CAISO_2035,0.235453435,1.330097103,1.565550538, optimal
model3, MiNg_$150_CAISO_2035,0.61127338,4.153137116,4.764410496, optimal
model4, MiNg_$150_CAISO_2035,0.340559649,2.765567172,3.106126821, optimal
model5, MiNg_$150_CAISO_2035,0.6670941,4.336439149,5.003533248, optimal
model6, MiNg_$150_CAISO_2035,0.247947216,1.064933018,1.312880234, optimal
model3, MiNg_$100_ERCOT_2035,0.669278987,6.588452168,7.257731156, optimal
model4, MiNg_$100_ERCOT_2035,0.277989368,3.005195081,3.283184449, optimal
model5, MiNg_$100_ERCOT_2035,0.611295501,7.286299582,7.897595084, optimal
model6, MiNg_$100_ERCOT_2035,0.225122948,0.876175265,1.101298213, optimal
model3, MiNg_$150_ERCOT_2035,0.661483737,4.243788397,4.905272134, optimal
model4, MiNg_$150_ERCOT_2035,0.318706596,2.994304601,3.313011197, optimal
model5, MiNg_$150_ERCOT_2035,0.631205519,6.989577313,7.620782832, optimal
model6, MiNg_$150_ERCOT_2035,0.218536214,0.950971882,1.169508096, optimal
model3, MiNg_$100_MISO-W_2035,0.588305632,6.741837998,7.330143631, optimal
model4, MiNg_$100_MISO-W_2035,0.29477073,2.76622295,3.060993679, optimal
model5, MiNg_$100_MISO-W_2035,0.697658579,10.03494268,10.73260126, optimal
model6, MiNg_$100_MISO-W_2035,0.216330266,1.012185566,1.228515832, optimal
model3, MiNg_$150_MISO-W_2035,0.660319869,6.526139498,7.186459366, optimal
model4, MiNg_$150_MISO-W_2035,0.320569917,2.734568612,3.055138528, optimal
model5, MiNg_$150_MISO-W_2035,0.580603321,6.588067416,7.168670738, optimal
