,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,13.19,8517.001043013726,-55.066066074031,5.0,1.42,2.5,-726.3214115164689,726.3214115164689,20610.59784593826,12.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
1,7.45,8838.077974800777,-57.12649440525638,5.0,1.42,2.5,-425.59238331916004,425.59238331916004,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
2,7.38,8842.076829409147,-57.12649440525638,5.0,1.42,2.5,-421.5935287107921,421.5935287107921,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
3,7.36,8843.219359297254,-57.12649440525638,5.0,1.42,2.5,-420.450998822687,420.450998822687,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
4,7.25,8849.503273681832,-57.12649440525638,5.0,1.42,2.5,-414.16708443810876,414.16708443810876,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
5,7.2,8852.359598402094,-57.12649440525638,5.0,1.42,2.5,-411.31075971784594,411.31075971784594,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
6,7.06,8860.357307618833,-57.12649440525638,5.0,1.42,2.5,-403.31305050111,403.31305050111,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
7,7.08,8859.214777730725,-57.12649440525638,5.0,1.42,2.5,-404.4555803892152,404.4555803892152,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
8,6.84,8872.925136387988,-57.12649440525638,5.0,1.42,2.5,-390.7452217319536,390.7452217319536,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
9,0.0,9263.67035811994,-57.12649440525638,5.0,1.42,2.5,-0.0,0.0,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
10,0.0,9263.67035811994,-57.12649440525638,5.0,1.42,2.5,-0.0,0.0,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
11,0.0,9263.67035811994,-57.12649440525638,5.0,1.42,2.5,-0.0,0.0,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
12,0.0,9263.67035811994,-57.12649440525638,5.0,1.42,2.5,-0.0,0.0,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
13,5.12,8971.18270676503,-57.12649440525638,5.0,1.42,2.5,-292.48765135491266,292.48765135491266,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
14,5.67,8939.763134842135,-57.12649440525638,5.0,1.42,2.5,-323.90722327780367,323.90722327780367,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
15,0.0,9263.67035811994,-57.12649440525638,5.0,1.42,2.5,-0.0,0.0,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
16,0.0,9263.67035811994,-57.12649440525638,5.0,1.42,2.5,-0.0,0.0,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
17,6.87,8871.211341555827,-57.12649440525638,5.0,1.42,2.5,-392.4590165641113,392.4590165641113,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
18,7.5,8835.221650080515,-57.12649440525638,5.0,1.42,2.5,-428.44870803942285,428.44870803942285,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
19,7.55,8832.365325360253,-57.12649440525638,5.0,1.42,2.5,-431.3050327596857,431.3050327596857,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
20,7.67,8825.510146031622,-57.12649440525638,5.0,1.42,2.5,-438.1602120883164,438.1602120883164,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
21,7.78,8819.226231647044,-57.12649440525638,5.0,1.42,2.5,-444.44412647289465,444.44412647289465,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
22,7.8,8818.083701758937,-57.12649440525638,5.0,1.42,2.5,-445.58665636099977,445.58665636099977,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
23,7.7,8823.796351199468,-57.12649440525638,5.0,1.42,2.5,-439.87400692047413,439.87400692047413,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
24,7.3,8846.64694896157,-57.12649440525638,5.0,1.42,2.5,-417.0234091583716,417.0234091583716,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
25,7.16,8854.644658178302,-57.12649440525638,5.0,1.42,2.5,-409.0256999416357,409.0256999416357,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
26,7.07,8859.78604267478,-57.12649440525638,5.0,1.42,2.5,-403.8843154451626,403.8843154451626,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
27,7.21,8851.78833345804,-57.12649440525638,5.0,1.42,2.5,-411.8820246618985,411.8820246618985,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
28,7.4,8840.934299521046,-57.12649440525638,5.0,1.42,2.5,-422.7360585988972,422.7360585988972,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
29,7.39,8841.505564465093,-57.12649440525638,5.0,1.42,2.5,-422.16479365484463,422.16479365484463,20569.84665163058,12.5,3849.378556398874,25278.538812785388,0,0,1,0,0,0
