,F (kg/s),Efficency (%),Pressure Ratio,Power (MW),T in (K),T out (K),P in (kPa),P out (kPa),h in (kJ/kg),h out (kJ/kg),x in (%),x out (%)
inlet_stage[1],152.96958502389697,0.9533626146093174,0.7724090239186466,-12.783165186990797,802.8945649227146,759.5196241585992,8546.931192922244,6601.726780224904,3466.7476187427064,3383.1809071967878,100.0,100.0
hp_stages[1],152.96958502389697,0.92040300131563,0.9358633643277562,-3.0659260464841145,759.5196241585992,749.0062689499073,6601.726780224904,6178.314234913925,3383.1809071967878,3363.138190561287,100.0,100.0
hp_stages[2],152.96958502389697,0.92040300131563,0.9358633643277562,-3.025457781723244,749.0062689499073,738.620676959881,6178.314234913925,5782.057945760612,3363.138190561287,3343.3600249785636,100.0,100.0
hp_stages[3],152.96958502389697,0.92040300131563,0.9358633643277562,-2.9854489638375292,738.620676959881,728.3617800204125,5782.057945760612,5411.21620185756,3343.3600249785636,3323.843406930792,100.0,100.0
hp_stages[4],152.96958502389697,0.92040300131563,0.9358633643277562,-2.945892056145881,728.3617800204125,718.2285181392683,5411.21620185756,5064.158999775279,3323.843406930792,3304.585382169296,100.0,100.0
hp_stages[5],152.96958502389697,0.92040300131563,0.9358633643277562,-2.9067801334980565,718.2285181392683,708.2198401536391,5064.158999775279,4739.360879020377,3304.585382169296,3285.58304171682,100.0,100.0
hp_stages[6],152.96958502389697,0.92040300131563,0.9358633643277562,-2.8681068221091555,708.2198401536391,698.3347043037735,4739.360879020377,4435.3942170033615,3285.58304171682,3266.8335182631145,100.0,100.0
hp_stages[7],152.96958502389697,0.92040300131563,0.9358633643277562,-2.8298662451270395,698.3347043037735,688.5720787457901,4435.3942170033615,4150.92295404464,3266.8335182631145,3248.3339829163665,100.0,100.0
hp_stages[8],152.96958502389697,0.92040300131563,0.9358633643277562,-2.792052973423136,688.5720787457901,678.9309420196031,4150.92295404464,3884.6967208375254,3248.3339829163665,3230.081642276317,100.0,100.0
hp_stages[9],152.96958502389697,0.92040300131563,0.9358633643277562,-2.7546619811460924,678.9309420196031,669.4102834849722,3884.6967208375254,3635.545342556008,3230.081642276317,3212.0737357979424,100.0,100.0
hp_stages[10],152.96958502389697,0.92040300131563,0.9358633643277562,-2.7176886056029743,669.4102834849722,660.0091037360379,3635.545342556008,3402.3736954505707,3212.0737357979424,3194.307533417395,100.0,100.0
hp_stages[11],152.96958502389697,0.92040300131563,0.9358633643277562,-2.6811285110948067,660.0091037360379,650.7264150022455,3402.3736954505707,3184.1568933246313,3194.307533417395,3176.7803334143614,100.0,100.0
hp_stages[12],152.96958502389697,0.92040300131563,0.9358633643277562,-2.644977656332056,650.7264150022455,641.561241541462,3184.1568933246313,2979.935782734206,3176.7803334143614,3159.4894604874407,100.0,100.0
hp_stages[13],152.96958502389697,0.92040300131563,0.9358633643277562,-2.6092322651155837,641.561241541462,632.5126200291187,2979.935782734206,2788.812727110299,3159.4894604874407,3142.4322640211753,100.0,100.0
hp_stages[14],152.96958502389697,0.92040300131563,0.9358633643277562,-2.5738888000089784,632.5126200291187,623.5795999455779,2788.812727110299,2609.947661273509,3142.4322640211753,3125.6061165252086,100.0,100.0
ip_stages[1],138.19636495590876,0.9212760401710883,0.850238776999118,-7.540947245809256,817.1815419304239,791.0340474450763,2455.6102286425635,2087.855037587577,3561.4090615009213,3506.842161364183,100.0,100.0
