,flow_mass,flow_mol,temperature,pressure,enth_mol,vapor_frac,"('flow_mol_comp', 'O2')","('flow_mol_comp', 'N2')","('flow_mol_comp', 'NO')","('flow_mol_comp', 'CO2')","('flow_mol_comp', 'H2O')","('flow_mol_comp', 'SO2')"
B001,136.99395133619274,7604.319851603345,550.2819259191346,11677474.697367841,21970.739096065525,0.0,,,,,7604.319851603345,
B001b,136.99395133619274,7604.319851603345,550.2707926234535,11521223.67703189,21970.739096065525,0.0,,,,,7604.319851603345,
B002,136.54595097151662,7579.452052453062,594.7203161306389,11521223.67703189,48563.002381242295,0.9999999999989427,,,,,7579.452052453062,
B003,136.54595097151662,7579.452052453062,600.1932294394203,11519790.281727772,49318.129238273235,1.0,,,,,7579.452052453062,
B004,136.54595097151662,7579.452052453062,695.892694065444,10995801.498461287,56687.43988076253,1.0,,,,,7579.452052453062,
B005,136.63148016615494,7584.199644199531,695.3793659298766,10995801.498461287,56659.44098142574,1.0,,,,,7584.199644199531,
B006,0.08552919463832236,4.747591746468684,429.01831076861805,10995801.498461287,11959.65920203432,0.0,,,,,4.747591746468684,
B007,2322.4952565871977,128918.07713159038,592.5455858818514,11800018.841061266,26249.31948334484,0.0,,,,,128918.07713159038,
B008,2322.4952565871977,128918.07713159038,594.7203161306389,11521223.67703189,27813.689880566282,0.05879277926715659,,,,,128918.07713159038,
B009,2185.949305615681,121338.62507913733,594.7203161304849,11521223.67703189,26517.578117987232,0.0,,,,,121338.62507913733,
B010,2322.9432569518744,128942.94493074069,592.444832755154,11521223.67703189,26249.431471770826,0.0,,,,,128942.94493074069,
B011,2322.9432569518744,128942.94493074069,592.4425031119279,11517494.968385193,26249.31948334484,0.0,,,,,128942.94493074069,
B011b,2322.4952565871977,128918.07713159038,592.4425031119279,11517494.968385193,26249.31948334484,0.0,,,,,128918.07713159038,
B012,123.90061141517621,6877.529042855632,735.0277603884053,2283332.3395361863,60904.75150771651,1.0,,,,,6877.529042855632,
B020,0.4480003646765697,24.867799150308496,592.4425031119279,11517494.968385193,26249.31948334484,0.0,,,,,24.867799150308496,
FG01,190.17539459636745,6471.5297036109705,1275.0359806461033,79868.35677,-47042.8980823975,,174.33152126020386,4694.394278191374,6.471529703610971,914.6479907542172,673.8089213028312,7.87546239873351
FG02,190.17539459636745,6471.5297036109705,1189.82812803292,79851.52290426976,-50300.4559952088,,174.33152126020386,4694.394278191374,6.471529703610971,914.6479907542172,673.8089213028312,7.87546239873351
FG03,190.17539459636745,6471.5297036109705,1057.1079651357024,79815.03826176625,-55286.37259297742,,174.33152126020386,4694.394278191374,6.471529703610971,914.6479907542172,673.8089213028312,7.87546239873351
FG04,190.17539459636745,6471.5297036109705,818.9493536150401,79735.60268003041,-63917.30519044479,,174.33152126020386,4694.394278191374,6.471529703610971,914.6479907542172,673.8089213028312,7.87546239873351
FG05,190.17539459636745,6471.5297036109705,658.2277011280781,79653.84716408014,-69471.36290216279,,174.33152126020386,4694.394278191374,6.471529703610971,914.6479907542172,673.8089213028312,7.87546239873351
FG06,190.17539459636745,6471.5297036109705,430.8288453555119,78532.43156866929,-76921.09023568871,,174.33152126020386,4694.394278191374,6.471529703610971,914.6479907542172,673.8089213028312,7.87546239873351
PA03,45.96478024462334,1597.7334504712733,328.82294666666667,87522.32422518812,-1092.8823946309465,,332.0729073951061,1252.6133899168533,0.0015977333881596713,0.5389777834283953,12.5049799091093,0.0015977333881596713
PA04,45.96478024462334,1597.7334504712733,622.8307353245193,86572.8025779588,7655.151590146035,,332.0729073951061,1252.6133899168533,0.0015977333881596713,0.5389777834283953,12.5049799091093,0.0015977333881596713
S001,136.63148016615494,7584.199644199531,810.0721234239228,10960767.499648372,62313.89670000779,1.0,,,,,7584.199644199531,
S002,136.63148016615494,7584.199644199531,795.7244044367645,7642790.9610515,62313.89670000779,1.0,,,,,7584.199644199531,
S005,123.90061141517621,6877.529042855632,618.735864217064,2343868.3134388444,56213.16719580426,1.0,,,,,6877.529042855632,
S006,12.730868750978722,706.6706013438992,618.735864217064,2343868.3134388444,56213.16719580426,1.0,,,,,706.6706013438992,
S007,0.0,0.0,618.735864217064,2343868.3134388444,56213.16719580426,1.0,,,,,0.0,
S009,123.90061141517621,6877.529042855632,811.3823394923028,2203333.9187635276,63970.00687234367,1.0,,,,,6877.529042855632,
S010,3.6109583333552444,200.4386461578862,666.160184708765,836171.4690332694,58590.561861007685,1.0,,,,,200.4386461578862,
S011,3.000999068373371,166.5807619073015,609.4562216060116,544378.2573161216,56545.388655196555,1.0,,,,,166.5807619073015,
S012,111.15105836519855,6169.821305314074,609.4562216060116,544378.2573161216,56545.388655196555,1.0,,,,,6169.821305314074,
