,F (kg/s),Efficency (%),Pressure Ratio,Power (MW),T in (K),T out (K),P in (kPa),P out (kPa),h in (kJ/kg),h out (kJ/kg),x in (%),x out (%)
inlet_stage[1],119.05898927437799,0.9582849738619171,0.7833193994918237,-9.453901926316872,792.7319289475879,752.185191994994,6731.968844541074,5273.28179270358,3461.629120745925,3382.223928547209,100.0,100.0
hp_stages[1],119.05898927437799,0.92040300131563,0.9358633643277562,-2.387948271573662,752.185191994994,741.8320351046842,5273.28179270358,4935.071239567874,3382.223928547209,3362.1670786938093,100.0,100.0
hp_stages[2],119.05898927437799,0.92040300131563,0.9358633643277562,-2.356386885241912,741.8320351046842,731.6019828726372,4935.071239567874,4618.55237345914,3362.1670786938093,3342.3753191668457,100.0,100.0
hp_stages[3],119.05898927437799,0.92040300131563,0.9358633643277562,-2.3251738413495207,731.6019828726372,721.4940570447093,4618.55237345914,4322.3339625494145,3342.3753191668457,3322.845724169268,100.0,100.0
hp_stages[4],119.05898927437799,0.92040300131563,0.9358633643277562,-2.2943046403232814,721.4940570447093,711.507288406256,4322.3339625494145,4045.114003939616,3322.845724169268,3303.5754056968344,100.0,100.0
hp_stages[5],119.05898927437799,0.92040300131563,0.9358633643277562,-2.263775114840946,711.507288406256,701.6407168508667,4045.114003939616,3785.6740008162487,3303.5754056968344,3284.561510747467,100.0,100.0
hp_stages[6],119.05898927437799,0.92040300131563,0.9358633643277562,-2.233581396534089,701.6407168508667,691.8933914468389,3785.6740008162487,3542.873606652012,3284.561510747467,3265.801218810277,100.0,100.0
hp_stages[7],119.05898927437799,0.92040300131563,0.9358633643277562,-2.2037198858675087,691.8933914468389,682.2643705117238,3542.873606652012,3315.645612909363,3265.801218810277,3247.291739607585,100.0,100.0
hp_stages[8],119.05898927437799,0.92040300131563,0.9358633643277562,-2.1741872249161234,682.2643705117238,672.7527217030174,3315.645612909363,3102.9912582159213,3247.291739607585,3229.0303110655914,100.0,100.0
hp_stages[9],119.05898927437799,0.92040300131563,0.9358633643277562,-2.144980272793994,672.7527217030174,663.3575221309974,3102.9912582159213,2903.9758383935696,3229.0303110655914,3211.014197491414,100.0,100.0
hp_stages[10],119.05898927437799,0.92040300131563,0.9358633643277562,-2.116096083508306,663.3575221309974,654.0778584978207,2903.9758383935696,2717.7245980455223,3211.014197491414,3193.2406879361492,100.0,100.0
hp_stages[11],119.05898927437799,0.92040300131563,0.9358633643277562,-2.0875318860214445,654.0778584978207,644.912827265292,2717.7245980455223,2543.418885643181,3193.2406879361492,3175.7070947253874,100.0,100.0
hp_stages[12],119.05898927437799,0.92040300131563,0.9358633643277562,-2.05928506633461,644.912827265292,635.8615348521733,2543.418885643181,2380.2925552127804,3175.7070947253874,3158.4107521402098,100.0,100.0
hp_stages[13],119.05898927437799,0.92040300131563,0.9358633643277562,-2.031353151406661,635.8615348521733,626.9230978605887,2380.2925552127804,2227.6285988057434,3158.4107521402098,3141.3490152332606,100.0,100.0
hp_stages[14],119.05898927437799,0.92040300131563,0.9358633643277562,-2.0037337947458838,626.9230978605887,618.0966433299134,2227.6285988057434,2084.7559949510687,3141.3490152332606,3124.5192587658325,100.0,100.0
ip_stages[1],108.48459627010378,0.9212760401710883,0.850238776999118,-5.966843115713249,820.9268169163785,794.7750794733215,1958.8093835937404,1665.4556946811383,3574.408308627778,3519.406554269426,100.0,100.0
ip_stages[2],108.48459627010378,0.9212760401710883,0.850238776999118,-5.778199529782009,794.7750794733215,769.2745683144218,1665.4556946811383,1416.0350129919073,3519.406554269426,3466.1436973436776,100.0,100.0
ip_stages[3],108.48459627010378,0.9082775522255189,0.8541034666738103,-5.363706620822404,769.2745683144218,745.4307948982237,1416.0350129919073,1209.440413527882,3466.1436973436776,3416.701593992268,100.0,100.0
ip_stages[4],108.48459627010378,0.9212760401710883,0.850238776999118,-5.422135595948699,745.4307948982237,721.1868547523364,1209.440413527882,1028.3131380512539,3416.701593992268,3366.720898277195,100.0,100.0
ip_stages[5],108.48459627010378,0.9212760401710883,0.850238776999118,-5.24698009633295,721.1868547523364,697.573892812543,1028.3131380512539,874.3117048688233,3366.720898277195,3318.354768183766,100.0,100.0
ip_stages[6],108.48459627010378,0.9212760401710883,0.850238776999118,-5.076281750561425,697.573892812543,674.5847541103016,874.3117048688233,743.3737146636822,3318.354768183766,3271.562118120133,100.0,100.0
ip_stages[7],105.28155940895869,0.9103124837519211,0.8666993589746904,-4.160725529740232,674.5847541103016,655.0479430733953,743.3737146636822,644.2815219776477,3271.562118120133,3232.0421342492814,100.0,100.0
ip_stages[8],105.28155940895869,0.9103124837519211,0.8666993589746904,-4.041015689626195,655.0479430733953,635.9749626348431,644.2815219776477,558.3983820972651,3232.0421342492814,3193.65919508774,100.0,100.0
ip_stages[9],105.28155940895869,0.9103124837519211,0.8666993589746904,-3.924075817381819,635.9749626348431,617.3605348245202,558.3983820972651,483.963519816204,3193.65919508774,3156.3869905401325,100.0,100.0
lp_stages[1],97.68040671937008,0.8074011620150117,0.6539549717124042,-9.015391649802321,617.3605348245202,570.6619632947309,483.963519816204,316.49034991124125,3156.3869905401325,3064.092210526542,100.0,100.0
lp_stages[2],97.68040671937008,0.8074011620150117,0.6539549717124042,-8.336419978635115,570.6619632947309,527.0105006923665,316.49034991124125,206.97043782345472,3064.092210526542,2978.7483810051813,100.0,100.0
lp_stages[3],91.87633634823663,0.853115473327583,0.5942601092705102,-9.274535111708326,527.0105006923665,474.8773028035695,206.97043782345472,122.99427499673152,2978.7483810051813,2877.8025283478078,100.0,100.0
lp_stages[4],91.87633634823663,0.853115473327583,0.5942601092705102,-8.355739401299926,474.8773028035695,427.3757556653708,122.99427499673152,73.09059129920486,2877.8025283478078,2786.8570277607005,100.0,100.0
lp_stages[5],89.29968918034857,0.8610640202970283,0.5574350402615467,-8.219696120283512,427.3757556653708,378.8796165009021,73.09059129920486,40.74325670361251,2786.8570277607005,2694.810838174496,100.0,100.0
outlet_stage,83.7330735959497,0.6921634055670004,0.09218866997561403,-20.047901513926448,378.8796165009021,301.0277159062852,40.74325670361251,3.7560666459810577,2694.810838174496,2455.3845200786527,100.0,96.04378488607117
