,F (kg/s),Efficency (%),Pressure Ratio,Power (MW),T in (K),T out (K),P in (kPa),P out (kPa),h in (kJ/kg),h out (kJ/kg),x in (%),x out (%)
inlet_stage[1],98.84469786692422,0.9601753003192601,0.7850238155631288,-7.688558738469166,777.4878168066971,738.0018902667686,5554.045908020503,4360.058310527038,3438.5033963536753,3360.719166097639,100.0,100.0
hp_stages[1],98.84469786692422,0.92040300131563,0.9358633643277562,-1.9556657390814336,738.0018902667686,727.8506305331599,4360.058310527038,4080.4188391550256,3360.719166097639,3340.9339294457513,100.0,100.0
hp_stages[2],98.84469786692422,0.92040300131563,0.9358633643277562,-1.9297322310270493,727.8506305331599,717.8192466648579,4080.4188391550256,3818.71450267798,3340.9339294457513,3321.4110589967463,100.0,100.0
hp_stages[3],98.84469786692422,0.92040300131563,0.9358633643277562,-1.9040816296806276,717.8192466648579,707.9068200162329,3818.71450267798,3573.7950018834085,3321.4110589967463,3302.147692617256,100.0,100.0
hp_stages[4],98.84469786692422,0.92040300131563,0.9358633643277562,-1.8787108924358489,707.9068200162329,698.1124403561928,3573.7950018834085,3344.5838138803265,3302.147692617256,3283.140998955597,100.0,100.0
hp_stages[5],98.84469786692422,0.92040300131563,0.9358633643277562,-1.853617180072895,698.1124403561928,688.4352057765508,3344.5838138803265,3130.0734603341994,3283.140998955597,3264.388175384135,100.0,100.0
hp_stages[6],98.84469786692422,0.92040300131563,0.9358633643277562,-1.8287978358966452,688.4352057765508,678.8742226326583,3130.0734603341994,2929.321079181385,3264.388175384135,3245.886446152701,100.0,100.0
hp_stages[7],98.84469786692422,0.92040300131563,0.9358633643277562,-1.8042503668958427,678.8742226326583,669.428605521377,2929.321079181385,2741.444280358904,3245.886446152701,3227.633060732626,100.0,100.0
hp_stages[8],98.84469786692422,0.92040300131563,0.9358633643277562,-1.779972426749015,669.428605521377,660.0974772997392,2741.444280358904,2565.6172673337683,3227.633060732626,3209.6252923326924,100.0,100.0
hp_stages[9],98.84469786692422,0.92040300131563,0.9358633643277562,-1.7559618005291684,660.0974772997392,650.8799691460637,2565.6172673337683,2401.067207384365,3209.6252923326924,3191.8604365698347,100.0,100.0
hp_stages[10],98.84469786692422,0.92040300131563,0.9358633643277562,-1.7322163909566426,650.8799691460637,641.7752206638755,2401.067207384365,2247.070834679782,3191.8604365698347,3174.3358102789157,100.0,100.0
hp_stages[11],98.84469786692422,0.92040300131563,0.9358633643277562,-1.7087342060646447,641.7752206638755,632.7823800277564,2247.070834679782,2102.9512712261994,3174.3358102789157,3157.048750447288,100.0,100.0
hp_stages[12],98.84469786692422,0.92040300131563,0.9358633643277562,-1.6855133481593028,632.7823800277564,623.9006041690882,2102.9512712261994,1968.0750517070826,3157.048750447288,3139.996613261048,100.0,100.0
hp_stages[13],98.84469786692422,0.92040300131563,0.9358633643277562,-1.6625520039536452,623.9006041690882,615.1290589987224,1968.0750517070826,1841.849339140113,3139.996613261048,3123.176773251096,100.0,100.0
hp_stages[14],98.84469786692422,0.92040300131563,0.9358633643277562,-1.639848435814625,615.1290589987224,606.4669196626231,1841.849339140113,1723.7193191125205,3123.176773251096,3106.586622527763,100.0,100.0
ip_stages[1],90.55566518337423,0.9212760401710883,0.850238776999118,-4.827685316882901,795.2103731938284,769.7081773264438,1616.156846703099,1374.1192207795941,3520.861648517184,3467.5498506621643,100.0,100.0
ip_stages[2],90.55566518337423,0.9212760401710883,0.850238776999118,-4.673946888305495,769.7081773264438,744.849407147481,1374.1192207795941,1168.3294457266231,3467.5498506621643,3415.935775730013,100.0,100.0
ip_stages[3],90.55566518337423,0.9082775522255189,0.8541034666738103,-4.337652195223743,744.849407147481,721.614640608146,1168.3294457266231,997.8742298122002,3415.935775730013,3368.0353800293124,100.0,100.0
ip_stages[4],90.55566518337423,0.9212760401710883,0.850238776999118,-4.383895517929828,721.614640608146,697.9970266454648,997.8742298122002,848.4313647544617,3368.0353800293124,3319.6243224874966,100.0,100.0
ip_stages[5],90.55566518337423,0.9212760401710883,0.850238776999118,-4.241285989198692,697.9970266454648,675.0024306233616,848.4313647544617,721.3692459365261,3319.6243224874966,3272.7880921908036,100.0,100.0
