,flow_mass,flow_mol,temperature,pressure,enth_mol,vapor_frac,"('flow_mol_comp', 'O2')","('flow_mol_comp', 'N2')","('flow_mol_comp', 'NO')","('flow_mol_comp', 'CO2')","('flow_mol_comp', 'H2O')","('flow_mol_comp', 'SO2')"
B001,147.6895696199224,8198.016884551469,556.1518632609606,11998492.059429273,22513.41059717512,0.0,,,,,8198.016884551469,
B001b,147.6895696199224,8198.016884551469,556.137278681207,11843272.318390947,22513.41059717512,0.0,,,,,8198.016884551469,
B002,147.20659223002096,8171.207565467811,596.8185492388196,11843272.318390947,48439.93544342526,0.9999999999987242,,,,,8171.207565467811,
B003,147.20659223002096,8171.207565467811,602.0904113152096,11841693.063356325,49192.95740633627,1.0,,,,,8171.207565467811,
B004,147.20659223002096,8171.207565467811,700.3538922000502,11252226.983868977,56842.42219171653,1.0,,,,,8171.207565467811,
B005,147.26135969799267,8174.247621907218,700.0488186571743,11252226.983868977,56825.815012586136,1.0,,,,,8174.247621907218,
B006,0.054767467971722494,3.0400564394071306,431.93825013352716,11252226.983868977,12188.253027761879,0.0,,,,,3.0400564394071306,
B007,2332.7361554919726,129486.53340342046,594.6865316944952,12119557.155943299,26485.782784811327,0.0,,,,,129486.53340342046,
B008,2332.7361554919726,129486.53340342046,596.8185492388196,11843272.318390947,28122.80290511717,0.06310469012155366,,,,,129486.53340342046,
B009,2185.529563261952,121315.32583795264,596.8185492386425,11843272.318390947,26754.340132924714,0.0,,,,,121315.32583795264,
B010,2333.219132881874,129513.34272250411,594.5805239183188,11843272.318390947,26485.895112439375,0.0,,,,,129513.34272250411,
B011,2333.219132881874,129513.34272250411,594.5780434931081,11839336.557009414,26485.782784811327,0.0,,,,,129513.34272250411,
B011b,2332.7361554919726,129486.53340342046,594.5780434931081,11839336.557009414,26485.782784811327,0.0,,,,,129486.53340342046,
B012,133.21306071129007,7394.448529875199,741.7829616761792,2456007.410982724,61135.451789793275,1.0,,,,,7394.448529875199,
B020,0.48297738990152483,26.80931908366258,594.5780434931081,11839336.557009414,26485.782784811327,0.0,,,,,26.80931908366258,
FG01,208.14287535412797,7084.505181985697,1297.8593817162066,79868.35677,-45365.111640663126,,204.24539229661883,5143.369752027372,7.084505181985699,990.81087179894,730.4636156108676,8.531045069913166
FG02,208.14287535412797,7084.505181985697,1213.8038294060361,79848.02852206658,-48586.278521296896,,204.24539229661883,5143.369752027372,7.084505181985699,990.81087179894,730.4636156108676,8.531045069913166
FG03,208.14287535412797,7084.505181985697,1080.9498161431172,79803.86732501377,-53592.146422021506,,204.24539229661883,5143.369752027372,7.084505181985699,990.81087179894,730.4636156108676,8.531045069913166
FG04,208.14287535412797,7084.505181985697,838.364624594764,79707.44479299783,-62414.973552560245,,204.24539229661883,5143.369752027372,7.084505181985699,990.81087179894,730.4636156108676,8.531045069913166
FG05,208.14287535412797,7084.505181985697,672.3405341143689,79608.33274088168,-68172.1875009089,,204.24539229661883,5143.369752027372,7.084505181985699,990.81087179894,730.4636156108676,8.531045069913166
FG06,208.14287535412797,7084.505181985697,437.0969603659542,78486.91714547083,-75894.06381613639,,204.24539229661883,5143.369752027372,7.084505181985699,990.81087179894,730.4636156108676,8.531045069913166
PA03,50.981884604755486,1772.1277457997294,328.3482288888889,87303.69603108012,-1106.726978097802,,368.31901632257404,1389.3374657563518,0.0017721276766867495,0.5978077783258314,13.869911687124183,0.0017721276766867495
PA04,50.981884604755486,1772.1277457997294,629.5592810056277,86354.17438385081,7861.984272527832,,368.31901632257404,1389.3374657563518,0.0017721276766867495,0.5978077783258314,13.869911687124183,0.0017721276766867495
S001,147.26135969799267,8174.247621907218,814.8689378678688,11212814.606655885,62486.88932985485,1.0,,,,,8174.247621907218,
S002,147.26135969799267,8174.247621907218,802.3017266508408,8242016.697483487,62486.88932985485,1.0,,,,,8174.247621907218,
S005,133.21306071129007,7394.448529875199,623.4825696515572,2520665.881100609,56339.408252572626,1.0,,,,,7394.448529875199,
S006,14.048298986702596,779.7990920320192,623.4825696515572,2520665.881100609,56339.408252572626,1.0,,,,,779.7990920320192,
S007,0.0,0.0,623.4825696515572,2520665.881100609,56339.408252572626,1.0,,,,,0.0,
S009,133.21306071129007,7394.448529875199,818.3585477229021,2370603.494902971,64221.601266076614,1.0,,,,,7394.448529875199,
S010,3.8475568938336955,213.57186198791777,672.074642692095,899650.747418627,58797.95731061571,1.0,,,,,213.57186198791777,
S011,3.3111343591460747,183.7958865555281,614.9390464212721,585705.5929438944,56735.41591924268,1.0,,,,,183.7958865555281,
S012,119.33867689931174,6624.303197025621,614.9390464212721,585705.5929438944,56735.41591924268,1.0,,,,,6624.303197025621,
