,status,gross_power,,eff,main_steam_pressure,fheat_ww,o2pct,fheat_platen,gross_power,throttle_pressure
220000000,optimal - Optimal Solution Found,220000000,220,34.64939454,11101390.84,0.975510735,2.427019237,0.98,220000000,9991070.282
217551020.4,optimal - Optimal Solution Found,217551020.4,217.5510204,34.64719567,10977567.39,0.976455118,2.413685847,0.98,217551020.4,9879627.636
215102040.8,optimal - Optimal Solution Found,215102040.8,215.1020408,34.64425035,10853817.93,0.977434552,2.400573347,0.98,215102040.8,9768251.537
212653061.2,optimal - Optimal Solution Found,212653061.2,212.6530612,34.64051877,10730129.89,0.978474657,2.38706231,0.98,212653061.2,9656930.699
210204081.6,optimal - Optimal Solution Found,210204081.6,210.2040816,34.63599905,10606487.1,0.979563497,2.374453501,0.98,210204081.6,9545650.451
207755102,optimal - Optimal Solution Found,207755102,207.755102,34.63065268,10482921.84,0.980693261,2.361429955,0.98,207755102,9434439.994
205306122.4,optimal - Optimal Solution Found,205306122.4,205.3061224,34.62446867,10359422.28,0.981857051,2.348940603,0.98,205306122.4,9323288.575
202857142.9,optimal - Optimal Solution Found,202857142.9,202.8571429,34.61741443,10235953.51,0.983106648,2.336116211,0.98,202857142.9,9212164.81
200408163.3,optimal - Optimal Solution Found,200408163.3,200.4081633,34.60946821,10112539.56,0.984406311,2.323413535,0.98,200408163.3,9101090.331
197959183.7,optimal - Optimal Solution Found,197959183.7,197.9591837,34.60059557,9989204.157,0.985717268,2.311446866,0.98,197959183.7,8990086.462
195510204.1,optimal - Optimal Solution Found,195510204.1,195.5102041,34.59078319,9865925.691,0.987073667,2.299292562,0.98,195510204.1,8879133.805
193061224.5,optimal - Optimal Solution Found,193061224.5,193.0612245,34.58021881,9742609.344,0.988505287,2.286809659,0.98,193061224.5,8768146.487
190612244.9,optimal - Optimal Solution Found,190612244.9,190.6122449,34.56866036,9619345.51,0.989963677,2.275370418,0.98,190612244.9,8657206.826
188163265.3,optimal - Optimal Solution Found,188163265.3,188.1632653,34.55607372,9496133.465,0.991482306,2.26322799,0.98,188163265.3,8546313.777
185714285.7,optimal - Optimal Solution Found,185714285.7,185.7142857,34.54241572,9372969.505,0.993038605,2.251932366,0.98,185714285.7,8435463.874
183265306.1,optimal - Optimal Solution Found,183265306.1,183.2653061,34.52764853,9249860.096,0.994649191,2.240114328,0.98,183265306.1,8324663.054
180816326.5,optimal - Optimal Solution Found,180816326.5,180.8163265,34.5117416,9126804.297,0.996292096,2.228969402,0.98,180816326.5,8213910.368
178367346.9,optimal - Optimal Solution Found,178367346.9,178.3673469,34.4946454,9003795.854,0.997985115,2.21789801,0.98,178367346.9,8103200.218
175918367.3,optimal - Optimal Solution Found,175918367.3,175.9183673,34.47632282,8880837.031,0.999727123,2.206720685,0.98,175918367.3,7992534.65
