,status,gross_power,,eff,main_steam_pressure,fheat_ww,o2pct,fheat_platen,gross_power,throttle_pressure
173469387.8,optimal - Optimal Solution Found,173469387.8,173.4693878,34.45672181,8757932.494,1.001501384,2.196099823,0.98,173469387.8,7881917.807
171020408.2,optimal - Optimal Solution Found,171020408.2,171.0204082,34.43579674,8635076.876,1.003319679,2.185634604,0.98,171020408.2,7771344.864
168571428.6,optimal - Optimal Solution Found,168571428.6,168.5714286,34.41349043,8512266.029,1.005191946,2.175025288,0.98,168571428.6,7660812.086
166122449,optimal - Optimal Solution Found,166122449,166.122449,34.3897499,8389504.444,1.007093612,2.165313427,0.98,166122449,7550323.419
163673469.4,optimal - Optimal Solution Found,163673469.4,163.6734694,34.36451111,8266795.348,1.009044289,2.155161128,0.98,163673469.4,7439881.839
161224489.8,optimal - Optimal Solution Found,161224489.8,161.2244898,34.33770073,8144132.204,1.011027109,2.14605471,0.98,161224489.8,7329481.312
158775510.2,optimal - Optimal Solution Found,158775510.2,158.7755102,34.30926741,8021498.848,1.01307601,2.136337428,0.98,158775510.2,7219115.752
156326530.6,optimal - Optimal Solution Found,156326530.6,156.3265306,34.27911752,7898918.706,1.015153221,2.127929026,0.98,156326530.6,7108789.482
153877551,optimal - Optimal Solution Found,153877551,153.877551,34.24716694,7776390.422,1.017276108,2.119246688,0.98,153877551,6998509.566
151428571.4,optimal - Optimal Solution Found,151428571.4,151.4285714,34.2133407,7653911.171,1.019432522,2.111101241,0.98,151428571.4,6888273.332
148979591.8,optimal - Optimal Solution Found,148979591.8,148.9795918,34.17753775,7531471.209,1.021635943,2.103571673,0.98,148979591.8,6778071.918
146530612.2,optimal - Optimal Solution Found,146530612.2,146.5306122,34.13965731,7409064.545,1.023902814,2.096228937,0.98,146530612.2,6667899.882
144081632.7,optimal - Optimal Solution Found,144081632.7,144.0816327,34.09960033,7286694.326,1.026220647,2.089487629,0.98,144081632.7,6557759.946
141632653.1,optimal - Optimal Solution Found,141632653.1,141.6326531,34.05724445,7164368.349,1.028580616,2.083280532,0.98,141632653.1,6447659.06
139183673.5,optimal - Optimal Solution Found,139183673.5,139.1836735,34.01246602,7042089.396,1.030974896,2.077824223,0.98,139183673.5,6337599.626
136734693.9,optimal - Optimal Solution Found,136734693.9,136.7346939,33.96513442,6919854.534,1.033413752,2.072803608,0.98,136734693.9,6227578.917
134285714.3,optimal - Optimal Solution Found,134285714.3,134.2857143,33.91511763,6797659.459,1.035898107,2.068570747,0.98,134285714.3,6117592.894
131836734.7,optimal - Optimal Solution Found,131836734.7,131.8367347,33.86226387,6675506.139,1.038434207,2.064989319,0.98,131836734.7,6007641.217
129387755.1,optimal - Optimal Solution Found,129387755.1,129.3877551,33.80641981,6553392.755,1.041016681,2.062313708,0.98,129387755.1,5897725.853
126938775.5,optimal - Optimal Solution Found,126938775.5,126.9387755,33.74740798,6431324.603,1.043646677,2.060482668,0.98,126938775.5,5787849.549
124489795.9,optimal - Optimal Solution Found,124489795.9,124.4897959,33.68505899,6309302.53,1.046326741,2.05942055,0.98,124489795.9,5678012.83
122040816.3,optimal - Optimal Solution Found,122040816.3,122.0408163,33.61917193,6187327.129,1.049053474,2.059630709,0.98,122040816.3,5568215.877
119591836.7,optimal - Optimal Solution Found,119591836.7,119.5918367,33.54954359,6065399.753,1.051840673,2.060503382,0.98,119591836.7,5458459.615
117142857.1,optimal - Optimal Solution Found,117142857.1,117.1428571,33.47595797,5943522.728,1.054676356,2.062855746,0.98,117142857.1,5348745.571
114693877.6,optimal - Optimal Solution Found,114693877.6,114.6938776,33.39815199,5821700.702,1.057559825,2.066931336,0.98,114693877.6,5239077.47
112244898,optimal - Optimal Solution Found,112244898,112.244898,33.31581937,5699890.712,1.059954564,2.105063799,0.98,112244898,5129441.787
109795918.4,optimal - Optimal Solution Found,109795918.4,109.7959184,33.22678758,5577963.83,1.05999214,2.293048901,0.98,109795918.4,5019778.496
107346938.8,optimal - Optimal Solution Found,107346938.8,107.3469388,33.12996607,5456117.467,1.059995466,2.493381184,0.98,107346938.8,4910157.233
104897959.2,optimal - Optimal Solution Found,104897959.2,104.8979592,33.02530633,5334343.442,1.059996695,2.703840398,0.98,104897959.2,4800584.292
102448979.6,optimal - Optimal Solution Found,102448979.6,102.4489796,32.91268808,5212640.091,1.059997335,2.924234725,0.98,102448979.6,4691064.933
100000000,optimal - Optimal Solution Found,100000000,100,32.79190048,5091009.217,1.059997731,3.154695772,0.98,100000000,4581604.321
