,,Units,Description,
stripper_condenser,area,m^2,Heat transfer area of the condenser,
stripper_condenser,cw_flow_mol,kmol/s,Molar flow rate of the cooling water utility stream through the condenser,
stripper_condenser,utility_inlet_temp,K,Absolute temperature of the cooling water stream at the condenser utility inlet,
stripper_condenser,utility_outlet_temp,K,Absolute temperature of the cooling water stream at the condenser utility outlet,
stripper_condenser,process_side_vapor_inlet_flow,kmol/s,Molar flow rate of the condenser process side inlet,
stripper_condenser,process_side_vapor_inlet_temp,K,Absolute temperature of the condenser process side inlet,
stripper_condenser,process_side_vapor_inlet_pressure,Pa,Absolute pressure of the condenser process side inlet,
stripper_condenser,process_side_vapor_inlet_co2_mole_frac,,CO2 mole fraction of the condenser process side inlet,
stripper_condenser,process_side_vapor_inlet_h2o_mole_frac,,H2O mole fraction of the condenser process side inlet,
stripper_condenser,process_side_vapor_outlet_flow,kmol/s,Molar flow rate of the condenser process side vapor outlet,
stripper_condenser,process_side_vapor_outlet_temp,K,Absolute temperature of the condenser process side vapor outlet,
stripper_condenser,process_side_vapor_outlet_pressure,Pa,Absolute pressure of the condenser process side vapor outlet,
stripper_condenser,process_side_vapor_outlet_co2_mole_frac,,CO2 mole fraction of the condenser process side vapor outlet,
stripper_condenser,process_side_vapor_outlet_h2o_mole_frac,,H2O mole fraction of the condenser process side vapor outlet,
stripper_condenser,process_side_liquid_outlet_flow,kmol/s,Molar flow rate of the condenser process side liquid outlet,
stripper_condenser,process_side_liquid_outlet_temp,K,Absolute temperature of the condenser process side liquid outlet,
stripper_condenser,process_side_liquid_outlet_pressure,Pa,Absolute pressure of the condenser process side liquid outlet,
stripper_condenser,process_side_liquid_outlet_h2o_mole_frac,,CO2 mole fraction of the condenser process side liquid outlet,
stripper_condenser,process_side_liquid_outlet_mea_mole_frac,,MEA mole fraction of the condenser process side liquid outlet,
stripper_condenser,process_side_liquid_outlet_co2_mole_frac,,H2O mole fraction of the condenser process side liquid outlet,
stripper_reboiler,heat_duty,MW,Heat duty of the reboiler,
stripper_reboiler,area,m^2,Heat transfer area of the reboiler,
stripper_reboiler,steam_flow_mol,kmol/s,Molar flow rate of the steam utility stream through the reboiler,
stripper_reboiler,utility_inlet_temp,K,Absolute temperature of the steam utility at the reboiler utility side inlet,
stripper_reboiler,utility_outlet_temp,K,Absolute pressure of the steam utility at the reboiler utility side inlet,
stripper_reboiler,process_side_liquid_inlet_flow,kmol/s,Molar flow rate of the reboiler process side liquid inlet,
stripper_reboiler,process_side_liquid_inlet_temp,K,Absolute temperature of the reboiler process side liquid inlet,
stripper_reboiler,process_side_liquid_inlet_pressure,Pa,Absolute pressure of the reboiler process side liquid inlet,
stripper_reboiler,process_side_liquid_inlet_h2o_mole_frac,,H2O mole fraction of the reboiler process side liquid inlet,
stripper_reboiler,process_side_liquid_inlet_mea_mole_frac,,MEA mole fraction of the reboiler process side liquid inlet,
stripper_reboiler,process_side_liquid_inlet_co2_mole_frac,,CO2 mole fraction of the reboiler process side liquid inlet,
stripper_reboiler,process_side_liquid_outlet_flow,kmol/s,Molar flow rate of the reboiler process side liquid outlet,
stripper_reboiler,process_side_liquid_outlet_temp,K,Absolute temperature of the reboiler process side liquid outlet,
stripper_reboiler,process_side_liquid_outlet_pressure,Pa,Absolute pressure of the reboiler process side liquid outlet,
stripper_reboiler,process_side_liquid_outlet_h2o_mole_frac,,H2O mole fraction of the reboiler process side liquid outlet,
stripper_reboiler,process_side_liquid_outlet_mea_mole_frac,,MEA mole fraction of the reboiler process side liquid outlet,
stripper_reboiler,process_side_liquid_outlet_co2_mole_frac,,CO2 mole fraction of the reboiler process side liquid outlet,
stripper_reboiler,process_side_vapor_outlet_flow,kmol/s,Molar flow rate of the reboiler process side vapor outlet,
stripper_reboiler,process_side_vapor_outlet_temp,K,Absolute temperature of the reboiler process side vapor outlet,
stripper_reboiler,process_side_vapor_outlet_pressure,Pa,Absolute pressure of the reboiler process side vapor outlet,
stripper_reboiler,process_side_vapor_outlet_co2_mole_frac,,CO2 mole fraction of the reboiler process side vapor outlet,
stripper_reboiler,process_side_vapor_outlet_h2o_mole_frac,,H2O mole fraction of the reboiler process side vapor outlet,
lean_rich_heat_exchanger,heat_duty,MW,Heat duty of the cross heat exchanger,
lean_rich_heat_exchanger,area,m^2,Heat transfer area of the cross heat exchanger,
lean_rich_heat_exchanger,cold_side_inlet_flow,kmol/s,"Molar flow rate of the cross heat exchanger cold side inlet stream (i.e., rich solvent pump outlet stream)",
lean_rich_heat_exchanger,cold_side_inlet_temp,K,"Absolute temperature of the cross heat exchanger cold side inlet stream (i.e., rich solvent pump outlet stream)",
lean_rich_heat_exchanger,cold_side_inlet_pressure,Pa,"Absolute pressure of the cross heat exchanger cold side inlet stream (i.e., rich solvent pump outlet stream)",
lean_rich_heat_exchanger,cold_side_inlet_h2o_mole_frac,,"H2O mole fraction of the cross heat exchanger cold side inlet stream (i.e., rich solvent pump outlet stream)",
lean_rich_heat_exchanger,cold_side_inlet_mea_mole_frac,,"MEA mole fraction of the cross heat exchanger cold side inlet stream (i.e., rich solvent pump outlet stream)",
lean_rich_heat_exchanger,cold_side_inlet_co2_mole_frac,,"CO2 mole fraction of the cross heat exchanger cold side inlet stream (i.e., rich solvent pump outlet stream)",
lean_rich_heat_exchanger,cold_side_outlet_flow,kmol/s,Molar flow rate of the cross heat exchanger cold side outlet stream,
lean_rich_heat_exchanger,cold_side_outlet_temp,K,Absolute temperature of the cross heat exchanger cold side outlet stream,
lean_rich_heat_exchanger,cold_side_outlet_pressure,Pa,Absolute pressure of the cross heat exchanger cold side outlet stream,
lean_rich_heat_exchanger,cold_side_outlet_h2o_mole_frac,,H2O mole fraction of the cross heat exchanger cold side outlet stream,
lean_rich_heat_exchanger,cold_side_outlet_mea_mole_frac,,MEA mole fraction of the cross heat exchanger cold side outlet stream,
lean_rich_heat_exchanger,cold_side_outlet_co2_mole_frac,,CO2 mole fraction of the cross heat exchanger cold side outlet stream,
lean_rich_heat_exchanger,hot_side_inlet_flow,kmol/s,"Molar flow rate of the cross heat exchanger hot side inlet stream (i.e., lean solvent pump outlet stream)",
lean_rich_heat_exchanger,hot_side_inlet_temp,K,"Absolute temperature of the cross heat exchanger hot side inlet stream (i.e., lean solvent pump outlet stream)",
lean_rich_heat_exchanger,hot_side_inlet_pressure,Pa,"Absolute pressure of the cross heat exchanger hot side inlet stream (i.e., lean solvent pump outlet stream)",
