,bic_k_eq_coeff_2,car_k_eq_coeff_2,lwm_coeff_1,lwm_coeff_2,lwm_coeff_3,lwm_coeff_4
bic_k_eq_coeff_2,2673.38114715817,1580.19207418518,21.9259610513727,-0.50374326170891,0.0011691121226,65.7117202424257
car_k_eq_coeff_2,1580.19207418403,1696.11073347261,4.60339161361933,-0.2666109857495,0.001066202434798,38.6514315117814
lwm_coeff_1,21.9259610498785,4.60339161233745,4.21876723122091,-0.070015990594209,0.000299292714145,0.035103107321908
lwm_coeff_2,-0.503743261681809,-0.2666109857264,-0.070015990594893,0.001390445821283,-6.17842672183974E-06,-0.017203636249761
lwm_coeff_3,0.001169112122475,0.001066202434691,0.000299292714148,-6.17842672184174E-06,2.86678925404426E-08,5.55726171015038E-05
lwm_coeff_4,65.7117202425273,38.6514315118888,0.035103107396041,-0.017203636251134,5.55726171078092E-05,2.64749880123599
