hydrogen_product_rate (kmol/s),status (None),total_variable_OM_cost (MUSD_2018/kg),electricity_variable_OM_costs (MUSD_2018/kg),natural_gas_variable_OM_costs (MUSD_2018/kg),water_variable_OM_costs (MUSD_2018/kg),water_treatment_chemicals_OM_costs (MUSD_2018/kg),soec_n_cells (None),h2_product_rate_mass (kg/s),fuel_rate (kmol/s),fuel_rate_mass (kg/s),co2_product_rate (kmol/s),co2_product_rate_mass (kg/s),soec_power_AC (MW),soec_power_DC (MW),h2_compressor_power (MW),feed_pump_power (MW),net_power (MW),net_power_per_mass_h2 (MWh/kg),feed_h2_frac (None),preheat_fg_split_to_oxygen (None)
2.5,optimal - Optimal Solution Found,1.2809961562052163e-06,1.1002970184989355e-06,1.7420847162484642e-07,4.535277574644415e-09,1.9553885067902344e-09,3220000.0,5.0,0.22877336074177593,3.9447793711946804,0.23361500460302495,10.281367812180601,622.1743663037436,603.5091353146313,35.12612688474664,0.0006111435453052941,660.1782110993612,0.036676567283297844,0.3999930325850612,0.5282666332516255
2.375,optimal - Optimal Solution Found,1.280335829652318e-06,1.0988867667804897e-06,1.7495839679039382e-07,4.535277574644238e-09,1.955388506790158e-09,3220000.0,4.75,0.21827026577920866,3.763672654015313,0.2228896261297231,9.809345196276942,590.1935090999526,572.487703826954,33.36982054050932,0.0005805863678596375,626.3654570648791,0.03662955889268299,0.3999996037819347,0.5282836036502947
2.25,optimal - Optimal Solution Found,1.2801384819584728e-06,1.098841135528088e-06,1.7480667950026855e-07,4.5352781676507694e-09,1.9553887624653916e-09,3220000.0,4.5,0.20660304323176729,3.5624926797639143,0.21097548313822506,9.285005201796181,559.0133888260837,542.2429871613012,31.61351419627207,0.0005254333775153538,593.3742131851677,0.03662803785093628,0.3999996537248068,0.5282968402023384
2.125,maxIterations - Maximum Number of Iterations Exceeded.,-3.182588444002288e-06,-3.234169923004084e-06,4.960836356613082e-08,1.3787103200839066e-09,5.944222795682746e-10,3220000.0,4.25,0.05537456281299578,0.9854433400680195,0.08131515083320916,3.578712671732733,-1652.8776560170886,-1603.2913253299967,29.742714396961293,-1.5262015084997698,-1649.4266519764237,-0.10780566352787083,0.5071397912273589,0.9899999854044216
2.0,maxIterations - Maximum Number of Iterations Exceeded.,-2.0429109206479156e-06,-2.0540669067498393e-06,3.3982715054659273e-08,-1.5951131572746964e-08,-6.8789026092115556e-09,3220000.0,4.0,0.7667266734024828,19.96387890365718,0.33440042298149336,2.2076518373151286,-1061.8236637169161,-1029.9700375763666,38.98592027110676,-0.3643050020693366,-985.9517272020651,-0.06846886994458785,0.32046741854222377,0.6331434198118048
1.875,maxIterations - Maximum Number of Iterations Exceeded.,-2.2509688664836267e-06,-2.2673057282959303e-06,4.007283903728494e-08,-1.658712471012712e-08,-7.150525777092195e-09,3220000.0,3.75,0.03947943685811102,1.0413965016826965,0.052911151584381824,2.3288167953823877,-1081.562280652939,-1049.115454104715,51.279261017673875,1.04376733806963,-1020.2883162426361,-0.07557691231426934,0.19385174443073264,0.521854218020102
1.75,maxIterations - Maximum Number of Iterations Exceeded.,1.1370344530907592e-09,-1.6618550606899638e-06,1.6829573438621654e-06,-1.3950485945187825e-08,-6.014762940129669e-09,3220000.0,3.5,1.5470606148379786,27.02288820539115,0.014829016520288486,0.6526237091791982,-944.9363240833698,-916.5882343216704,191.21033077649287,17.02223815383054,-697.9791255210807,-0.05539516869214927,0.5307593376192953,0.5714363242929968
